item_num,construct,construct_en,type,question_num,question
1,自省,RF,N,51,即使認為自己表現不錯，我仍會找出能進步的地方
2,自省,RF,N,14,我時常思考如何讓自己的生活變得更好
3,自省,RF,N,41,出現狀況時，我會先檢視問題是否出在自己身上
4,自省,RF,N,3,我會仔細思考別人給予的建議
5,自省,RF,N,48,我時常與過去的自己比較
6,自省,RF,N,21,即便對目前的生活滿意，我仍會尋求讓生活變得更好的方式
7,自省,RF,N,28,與自己對話幫助我了解事情的意義
8,自省,RF,N,62,在做事情時，我會思考該行為對我的重要性
9,自省,RF,N,27,每過一段時間，我會檢視自己的生活
10,自省,RF,N,16,透過與自己對話，更能幫助我釐清自己的目標
11,模糊容忍,AT,N,37,遇到突發狀況時，我能冷靜面對
12,模糊容忍,AT,R,29,沒有明確計畫的事物會讓我感到惶恐
13,模糊容忍,AT,R,6,對於未知的未來，我會感到徬徨無助
14,模糊容忍,AT,N,18,比起標準答案，我更喜歡開放性的問答
15,模糊容忍,AT,R,47,沒有明確的指令時，我會不知所措
16,模糊容忍,AT,N,1,在陌生的地方迷路時，我能冷靜地尋找出路
17,模糊容忍,AT,N,30,我善於處理沒有條理的狀況
18,模糊容忍,AT,R,54,若沒有可依循的計畫，我會感到焦慮
19,模糊容忍,AT,N,10,即使追求目標的過程中會有不可預測的狀況，我仍願意追求該目標
20,堅毅,HD,N,15,對於我喜歡的事物，我能夠堅持到底不放棄
21,堅毅,HD,N,2,對於已經訂下的生活目標，我能夠全心全意的投入
22,堅毅,HD,N,31,我能心無旁鶩的完成我的目標
23,堅毅,HD,N,44,我會勤奮練習以掌握新學習的事物
24,堅毅,HD,N,7,我做事會專心到忘了時間
25,堅毅,HD,N,50,選定一個目標後，我就會專注地向它前進
26,堅毅,HD,R,39,我很難對一個目標專注的投入
27,堅毅,HD,R,55,經歷挫折後，我會難以承受接下來的挑戰
28,堅毅,HD,N,9,我總是能從挫折中恢復鬥志
29,堅毅,HD,R,20,我會因為失敗就認為自己沒有希望
30,堅毅,HD,N,49,看到考試成績不理想，我很快就能調適心情迎接下一次的考試
31,堅毅,HD,N,13,當別人批評我的時候，我可以接納他們的意見
32,堅毅,HD,R,36,輸了一場競爭後，我會沉浸在沮喪的情緒裡
33,堅毅,HD,N,40,我不會因為失敗而沮喪太久
34,堅毅,HD,N,34,即使遭遇失敗，我也會很快從沮喪中復原
35,堅毅,HD,N,17,我的心情不易受到失敗經驗的影響
36,堅毅,HD,R,43,同一件事情反覆失敗後，我就會放棄嘗試
37,堅毅,HD,R,32,如果某個科目每次成績都不是很好，我會放棄去讀它
38,堅毅,HD,N,56,就算一件事情失敗，我仍會堅持下去 
39,堅毅,HD,R,4,若持續遇到瓶頸，堅持下去是沒有意義的
40,信心,CF,N,53,若我在基礎課程拿到不錯的成績，我相信在進階課程(同科目)也能拿到不錯的成績
41,信心,CF,N,35,不管任務有多困難，我都有自信能夠克服
42,信心,CF,R,59,即使我隨堂小考都考很好，我仍沒有自信考好期中、期末考
43,信心,CF,N,11,即使發現事情比我預期的還要困難，我依然相信自己能夠做好 ?
44,信心,CF,N,61,就算競爭變得越來越激烈，我仍有自信能發揮自己的實力
45,信心,CF,N,46,我會因為過去成功的經驗而相信未來也能成功
46,信心,CF,N,8,過去順利的交友經驗，讓我相信往後的人際交往也不會有問題
47,信心,CF,N,19,過去參加社團(系學會、系隊或其他團體)的成功經驗，使我自信未來在工作上也能表現良好
48,信心,CF,N,42,在學業上小有成就，讓我相信在職場上也能得心應手
49,信心,CF,N,22,了解理論之後，我相信能夠將其充分發揮在實務工作上
50,信心,CF,N,58,學生時期的工作經驗累積，使我相信未來職場就業時能夠更快上手
51,信心,CF,N,24,我認為我可以掌握自己的未來
52,信心,CF,R,23,對於自己訂定的目標，我會擔心無法達成
53,信心,CF,N,60,我有信心能夠達成設立的目標
54,信心,CF,N,25,我相信我能做出一份傑出的報告
55,信心,CF,N,45,在追求目標的過程中，我堅信我能實現目標
56,信心,CF,N,5,我確信我能考到理想的分數
57,虛飾,F,R,33,考試時，我曾有過作弊的念頭
58,虛飾,F,N,26,我從未亂丟垃圾
59,虛飾,F,R,12,我曾怯於承認自己的過錯
60,虛飾,F,N,38,每次有人需要幫助時，我一定會伸出援手
61,虛飾,F,N,57,我從未背地裡批評他人
62,虛飾,F,N,52,若有同學被惡意排擠，我會出面制止
